Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Insulin resistance	2/108	0.0032997207202743913	0.033242857650911915	0	0	26.78975741239892	153.07446220756404	SREBF1;SLC2A4
AMPK signaling pathway	2/120	0.004054817540383971	0.033242857650911915	0	0	24.050847457627118	132.4684502757736	SREBF1;SLC2A4
Insulin signaling pathway	2/137	0.005248872260670303	0.033242857650911915	0	0	21.004232804232803	110.26680382213077	SREBF1;SLC2A4
Mucin type O-glycan biosynthesis	1/31	0.024522696784534302	0.09318624778123034	0	0	44.34222222222222	164.42788585185278	B4GALT5
Circadian rhythm	1/31	0.024522696784534302	0.09318624778123034	0	0	44.34222222222222	164.42788585185278	PER3
Bladder cancer	1/41	0.032312231703393396	0.09821668953427755	0	0	33.24	114.08996545091124	HBEGF
Type II diabetes mellitus	1/46	0.036185096144207514	0.09821668953427755	0	0	29.53925925925926	98.04399035231516	SLC2A4
Mitophagy	1/65	0.050769862256905815	0.10160517909501572	0	0	20.75	61.84438653446941	OPTN
Epithelial cell signaling in Helicobacter pylori infection	1/68	0.053053717875186444	0.10160517909501572	0	0	19.817910447761193	58.19430975162623	HBEGF
Adipocytokine signaling pathway	1/69	0.05381385761215394	0.10160517909501572	0	0	19.525490196078433	57.05786130626521	SLC2A4
RNA degradation	1/79	0.06138385776429799	0.10160517909501572	0	0	17.013675213675214	47.4785046472436	BTG1
ErbB signaling pathway	1/85	0.06589856541156783	0.10160517909501572	0	0	15.793650793650794	42.953022442034516	HBEGF
GnRH signaling pathway	1/93	0.07188651291435634	0.10160517909501572	0	0	14.414492753623188	37.948553815996235	HBEGF
Circadian entrainment	1/97	0.07486697407001158	0.10160517909501572	0	0	13.811111111111112	35.79898585826624	PER3
Parathyroid hormone synthesis, secretion and action	1/106	0.08154023643974265	0.10328429949034068	0	0	12.6215873015873	31.638011389100345	HBEGF
FoxO signaling pathway	1/132	0.1005659503466767	0.116438838285782	0	0	10.103307888040712	23.206707623377085	SLC2A4
Estrogen signaling pathway	1/137	0.10418211846622599	0.116438838285782	0	0	9.729411764705882	22.004181371864657	HBEGF
Non-alcoholic fatty liver disease (NAFLD)	1/149	0.1128053888245382	0.11907235487034587	0	0	8.935135135135136	19.49727946140727	SREBF1
Proteoglycans in cancer	1/201	0.1492814860795021	0.1492814860795021	0	0	6.594666666666667	12.542538892086561	HBEGF
