Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquitin mediated proteolysis	15/137	4.892840906248111E-6	0.0012085317038432835	0	0	4.502375186289121	55.05386172772929	UBE2H;UBE3C;CUL2;UBE2E1;UBE2D1;KLHL13;ANAPC10;ITCH;UBE2Q2;CDC27;FBXO4;UBA3;TRIM37;TRIP12;UBE2K
Human papillomavirus infection	22/330	1.0833909755806084E-4	0.013379878548420513	0	0	2.6253084727173017	23.969708132228416	RB1;ITGB1;GSK3B;HDAC2;CHUK;STAT1;FZD6;PTEN;PIK3R3;EIF2AK2;PPP2R2A;PIK3CB;PPP2R3A;MPP5;TBK1;CCND1;APC;PPP2R5E;PPP2R3C;ATP6V1H;PRKACB;ATR
mRNA surveillance pathway	10/91	1.7933275201998343E-4	0.014765063249645301	0	0	4.48799017904709	38.71460394749731	PPP1CB;NUDT21;CPSF6;RNGTT;PPP2R5E;PPP2R3C;CPSF2;PPP2R2A;PPP2R3A;NXT2
Hepatitis C	12/155	0.0010963882590332137	0.053404083449884905	0	0	3.052269764134171	20.803458510208603	RB1;GSK3B;RNASEL;TBK1;CCND1;CHUK;DDX58;STAT1;PIK3R3;EIF2AK2;PPP2R2A;PIK3CB
Thyroid hormone signaling pathway	10/116	0.0012469337878257378	0.053404083449884905	0	0	3.4250769938758894	22.903721772979384	GSK3B;MED14;HDAC2;PLN;CCND1;STAT1;PIK3R3;PIK3CB;PRKACB;HIF1A
Hippo signaling pathway	12/160	0.0014412833860351973	0.053404083449884905	0	0	2.9483890670331347	19.289013819927792	PPP1CB;SMAD2;GSK3B;CCND1;APC;FZD6;SNAI2;PPP2R2A;BMPR1B;MPP5;STK3;BMP5
Sphingolipid signaling pathway	10/119	0.0015134760491870216	0.053404083449884905	0	0	3.330292441950531	21.624741954040392	ASAH1;ROCK1;PPP2R5E;PPP2R3C;PTEN;PIK3R3;PPP2R2A;DEGS1;PIK3CB;PPP2R3A
Peroxisome	8/83	0.0018563403978360917	0.05651222934632881	0	0	3.864323987538941	24.30330647236803	ABCD3;PEX3;ACSL4;FAR1;CROT;ACSL3;PEX13;NUDT12
Cell cycle	10/124	0.0020591500571536816	0.05651222934632881	0	0	3.1834041012474903	19.690825019120165	RB1;SMAD2;GSK3B;HDAC2;CCND1;CCNH;CDC27;SMC3;ANAPC10;ATR
Endocytosis	15/244	0.002859318904549279	0.07062517694236718	0	0	2.3853711790393013	13.97152886865293	SH3GLB1;SMAD2;ARFGEF1;USP8;VTA1;RAB10;SNX4;ITCH;CAPZA1;CAPZA2;CHMP2B;EPS15;STAM2;RAB5A;SNX5
