Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Steroid biosynthesis	6/19	9.822665241120533E-9	1.6796757562316111E-6	0	0	54.43131868131868	1003.6358616030335	SQLE;NSDHL;CYP51A1;MSMO1;HSD17B7;FDFT1
RNA transport	7/165	6.135193531493201E-4	0.03018090439384135	0	0	5.217766997650269	38.59216351643424	NUP107;THOC1;SMN2;STRAP;NUP54;SMN1;NUP37
Proteasome	4/45	6.242808905905605E-4	0.03018090439384135	0	0	11.354375896700143	83.78291950228187	PSMC6;PSMA4;PSMA1;PSMD1
Nucleotide excision repair	4/47	7.373153520517948E-4	0.03018090439384135	0	0	10.82517099863201	78.07649030746806	GTF2H2C;XPA;ERCC8;GTF2H2
Terpenoid backbone biosynthesis	3/22	8.824825846152441E-4	0.03018090439384135	0	0	18.289012003693443	128.62244244671862	IDI1;HMGCS1;HMGCR
Ubiquinone and other terpenoid-quinone biosynthesis	2/11	0.00393095925369138	0.11203233873020432	0	0	25.603359173126616	141.81372405748354	NQO1;COQ3
Valine, leucine and isoleucine degradation	3/48	0.008402467115526478	0.2007785884426315	0	0	7.711890838206628	36.85689937223769	MCCC2;HMGCS1;DLD
Primary bile acid biosynthesis	2/17	0.00939315033649738	0.2007785884426315	0	0	15.35736434108527	71.68471431789095	CYP39A1;AMACR
Lysine degradation	3/59	0.01473523103644281	0.2799693896924134	0	0	6.193609022556391	26.121632660855365	TMLHE;KMT5B;DLD
PPAR signaling pathway	3/74	0.026746543901494252	0.4191720764169143	0	0	4.881393624907338	17.677234871562316	FABP1;GK;DBI
Citrate cycle (TCA cycle)	2/30	0.027910749110355428	0.4191720764169143	0	0	8.221760797342192	29.42357212064579	IDH1;DLD
Apelin signaling pathway	4/137	0.03186688300245547	0.4191720764169143	0	0	3.4839451570101727	12.006329849333284	SMAD2;PRKAG1;GNAI3;TFAM
Ubiquitin mediated proteolysis	4/137	0.03186688300245547	0.4191720764169143	0	0	3.4839451570101727	12.006329849333284	ERCC8;UBE2A;RCHY1;ANAPC10
Ribosome	4/153	0.044841981251692635	0.5477127710028171	0	0	3.1073035925779706	9.646967350376833	MRPL1;MRPS10;MRPL35;MRPL22
Tryptophan metabolism	2/42	0.05164416413831074	0.5887434711767424	0	0	5.751744186046512	17.044592633551538	KYAT3;DLD
Basal transcription factors	2/45	0.05839525818980887	0.6240993219035823	0	0	5.349648458626285	15.19578658435137	GTF2H2C;GTF2H2
Amino sugar and nucleotide sugar metabolism	2/48	0.06543227633691397	0.6581717208007228	0	0	5.0	13.633698101448687	NANP;UGDH
Mineral absorption	2/51	0.07273609323797724	0.6807967295335744	0	0	4.693165638348362	12.300400183996949	STEAP1;STEAP2
Sulfur metabolism	1/9	0.07564408105928605	0.6807967295335744	0	0	14.31936416184971	36.968532753958556	SUOX
Synthesis and degradation of ketone bodies	1/10	0.08368958302396115	0.7037426125332622	0	0	12.727681438664098	31.572805424981034	HMGCS1
Cell cycle	3/124	0.0939796574881784	0.7037426125332622	0	0	2.857039292445991	6.755974902471492	RB1;SMAD2;ANAPC10
Steroid hormone biosynthesis	2/60	0.09606874260426201	0.7037426125332622	0	0	3.963111467522053	9.28434665671665	SRD5A3;HSD17B7
Viral carcinogenesis	4/201	0.09877089298712452	0.7037426125332622	0	0	2.344461033144222	5.427315514922291	RB1;GTF2H2C;DDX3X;GTF2H2
Epstein-Barr virus infection	4/201	0.09877089298712452	0.7037426125332622	0	0	2.344461033144222	5.427315514922291	RB1;PSMC6;PSMD1;HES1
