Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Butanoate metabolism	2/28	0.0018830893634099947	0.0738036227795356	0	0	34.83916083916084	218.61021478232786	ACSM4;HADH
Circadian rhythm	2/31	0.0023063632118604876	0.0738036227795356	0	0	31.230407523510973	189.63363791906963	NPAS2;ARNTL
Adherens junction	2/72	0.011942402007789574	0.25477124283284425	0	0	12.911688311688312	57.168566103425825	PTPN1;CTNNB1
Breast cancer	2/147	0.04499170807019891	0.3591891732441634	0	0	6.209717868338558	19.258055644304193	CTNNB1;BRCA2
Fatty acid elongation	1/27	0.06031610495649811	0.3591891732441634	0	0	17.032478632478632	47.829859287186046	HADH
Tuberculosis	2/179	0.06380231851329748	0.3591891732441634	0	0	5.078839239856189	13.976791632547458	CLEC7A;NFYB
Mucin type O-glycan biosynthesis	1/31	0.06894365075528797	0.3591891732441634	0	0	14.75851851851852	39.471152501452366	GALNT7
SNARE interactions in vesicular transport	1/34	0.07536341037599187	0.3591891732441634	0	0	13.414814814814815	34.683110213712276	VTI1A
Proteoglycans in cancer	2/201	0.07801349293484347	0.3591891732441634	0	0	4.512334399269073	11.510394156088067	PDCD4;CTNNB1
DNA replication	1/36	0.07961917202056437	0.3591891732441634	0	0	12.646984126984126	32.00319789387239	DNA2
Thyroid cancer	1/37	0.08173986122317027	0.3591891732441634	0	0	12.295061728395062	30.789459546748624	CTNNB1
Homologous recombination	1/41	0.09017491989219245	0.3591891732441634	0	0	11.063333333333333	26.618423595643765	BRCA2
Tryptophan metabolism	1/42	0.09227181253348396	0.3591891732441634	0	0	10.792953929539296	25.71978809417909	HADH
Carbohydrate digestion and absorption	1/44	0.09645142457009452	0.3591891732441634	0	0	10.289922480620156	24.065203974439605	SLC5A1
Fatty acid degradation	1/44	0.09645142457009452	0.3591891732441634	0	0	10.289922480620156	24.065203974439605	HADH
Valine, leucine and isoleucine degradation	1/48	0.10475424665272434	0.3591891732441634	0	0	9.412293144208038	21.235433925545344	HADH
Arginine and proline metabolism	1/49	0.10681826213767642	0.3591891732441634	0	0	9.21574074074074	20.612168790008823	P4HA1
Mineral absorption	1/51	0.11093233713692385	0.3591891732441634	0	0	8.846222222222222	19.451381614691524	SLC5A1
Fanconi anemia pathway	1/54	0.11706871342498994	0.3591891732441634	0	0	8.344234800838574	17.89833543767599	BRCA2
Pathogenic Escherichia coli infection	1/55	0.11910495002095219	0.3591891732441634	0	0	8.189300411522634	17.42478592911776	CTNNB1
Endometrial cancer	1/58	0.12518613547672552	0.3591891732441634	0	0	7.757115009746589	16.11892479212372	CTNNB1
Lysine degradation	1/59	0.12720405622576708	0.3591891732441634	0	0	7.622988505747126	15.718318266429916	HADH
Steroid hormone biosynthesis	1/60	0.1292174232451343	0.3591891732441634	0	0	7.493408662900189	15.333453732333883	STS
Basal cell carcinoma	1/63	0.13523030227867788	0.3591891732441634	0	0	7.129749103942652	14.265030973088258	CTNNB1
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1/72	0.15302627203462094	0.3591891732441634	0	0	6.223161189358373	11.68178001613074	CTNNB1
Bile secretion	1/72	0.15302627203462094	0.3591891732441634	0	0	6.223161189358373	11.68178001613074	SLC5A1
Bacterial invasion of epithelial cells	1/74	0.15693200698822565	0.3591891732441634	0	0	6.052054794520548	11.20805835747445	CTNNB1
Pancreatic cancer	1/75	0.15887826166448996	0.3591891732441634	0	0	5.96996996996997	10.982458365229922	BRCA2
Antigen processing and presentation	1/77	0.16275759412626153	0.3591891732441634	0	0	5.812280701754386	10.552156890784307	NFYB
Colorectal cancer	1/86	0.17999908252900587	0.3839980427285459	0	0	5.1945098039215685	8.907563723274029	CTNNB1
Prostate cancer	1/97	0.20060079887425283	0.38800891395136833	0	0	4.596759259259259	7.384410686337352	CTNNB1
Glycerophospholipid metabolism	1/97	0.20060079887425283	0.38800891395136833	0	0	4.596759259259259	7.384410686337352	CDS1
Phosphatidylinositol signaling system	1/99	0.2042917739097955	0.38800891395136833	0	0	4.502494331065759	7.150888703946834	CDS1
Melanogenesis	1/101	0.20796607582317628	0.38800891395136833	0	0	4.412	6.928517925895823	CTNNB1
C-type lectin receptor signaling pathway	1/104	0.2134464276390798	0.38800891395136833	0	0	4.2828478964401295	6.614299245570354	CLEC7A
Insulin resistance	1/108	0.22069589219613858	0.38800891395136833	0	0	4.121910695742471	6.2280816665872045	PTPN1
Leukocyte transendothelial migration	1/112	0.227879979649345	0.38800891395136833	0	0	3.9725725725725725	5.875181359575033	CTNNB1
Thyroid hormone signaling pathway	1/116	0.23499926665487883	0.38800891395136833	0	0	3.833623188405797	5.551749154521461	CTNNB1
Dopaminergic synapse	1/131	0.2611291635111755	0.38800891395136833	0	0	3.388717948717949	4.5501675272107995	ARNTL
Oxidative phosphorylation	1/133	0.26454649880748893	0.38800891395136833	0	0	3.337037037037037	4.437385770595149	COX11
Spliceosome	1/134	0.26624936339807326	0.38800891395136833	0	0	3.3117794486215537	4.382550447704493	HNRNPA3
Insulin signaling pathway	1/137	0.27133484756185794	0.38800891395136833	0	0	3.238235294117647	4.22395936672437	PTPN1
Fluid shear stress and atherosclerosis	1/139	0.2747059975928274	0.38800891395136833	0	0	3.1909822866344606	4.1229209578945945	CTNNB1
Signaling pathways regulating pluripotency of stem cells	1/139	0.2747059975928274	0.38800891395136833	0	0	3.1909822866344606	4.1229209578945945	CTNNB1
Cell adhesion molecules (CAMs)	1/145	0.28472816329849493	0.38800891395136833	0	0	3.057098765432099	3.840389732669807	MPZL1
Gastric cancer	1/149	0.2913342085625659	0.38800891395136833	0	0	2.973873873873874	3.667631625100376	CTNNB1
Phagosome	1/152	0.2962495372683526	0.38800891395136833	0	0	2.9143487858719648	3.545460191272063	CLEC7A
Cushing syndrome	1/155	0.3011315091318221	0.38800891395136833	0	0	2.857142857142857	3.4291662920994956	CTNNB1
Hepatitis C	1/155	0.3011315091318221	0.38800891395136833	0	0	2.857142857142857	3.4291662920994956	CTNNB1
Wnt signaling pathway	1/158	0.3059803455767096	0.38800891395136833	0	0	2.802123142250531	3.3183706439641787	CTNNB1
Hippo signaling pathway	1/160	0.30919460330499665	0.38800891395136833	0	0	2.76659678546471	3.2473881925675467	CTNNB1
RNA transport	1/165	0.31716666998745746	0.3887174465324066	0	0	2.6815718157181574	3.0793236525859244	EIF2S3
Hepatocellular carcinoma	1/168	0.3219066354096492	0.3887174465324066	0	0	2.6330006653359947	2.984489738993239	CTNNB1
Pathways in cancer	2/530	0.3453572018142902	0.40689782408542186	0	0	1.6723484848484849	1.7780008228917996	CTNNB1;BRCA2
Kaposi sarcoma-associated herpesvirus infection	1/186	0.34967781757340943	0.40689782408542186	0	0	2.3746546546546545	2.495151921207943	CTNNB1
Focal adhesion	1/199	0.36903964958189156	0.42175959952216174	0	0	2.217283950617284	2.210302143128026	CTNNB1
Rap1 signaling pathway	1/206	0.37923048623820477	0.42580265121482636	0	0	2.140813008130081	2.075756089179087	CTNNB1
Human T-cell leukemia virus 1 infection	1/219	0.3977308747016577	0.4388754479466567	0	0	2.0118246687054024	1.8548614977399653	NFYB
Human cytomegalovirus infection	1/225	0.4060865367878874	0.4405006500749965	0	0	1.9573412698412698	1.7639344163319401	CTNNB1
Thermogenesis	1/231	0.4143287609867219	0.4419506783858367	0	0	1.9057004830917874	1.679104142164637	COX11
Cytokine-cytokine receptor interaction	1/294	0.4943907954460892	0.5164027284310004	0	0	1.4911642017444064	1.0504192935091237	IL1RL2
MicroRNAs in cancer	1/299	0.5002651431675317	0.5164027284310004	0	0	1.465771812080537	1.015218526142923	PDCD4
Human papillomavirus infection	1/330	0.5352238903189434	0.5437195076255932	0	0	1.325565687267815	0.8285715205066786	CTNNB1
Olfactory transduction	1/444	0.6443756468607477	0.6443756468607477	0	0	0.9787308753448708	0.4301262053936851	OR4A5
