Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ABC transporters	2/45	0.39437405889939525	0.9999959563699979	0	0	1.5003875968992249	1.3960437896380424	ABCA10;ABCA9
Collecting duct acid secretion	1/27	0.5620829204172757	0.9999959563699979	0	0	1.2397286573659285	0.7142149873936875	ATP6V0E1
Circadian rhythm	1/31	0.61254350449703	0.9999959563699979	0	0	1.0742096505823626	0.5265080815276272	ARNTL
PPAR signaling pathway	2/74	0.6570983656563496	0.9999959563699979	0	0	0.8947222222222222	0.3757131444223951	FABP4;OLR1
Aldosterone-regulated sodium reabsorption	1/37	0.6775597021224589	0.9999959563699979	0	0	0.8948973932334997	0.3483456194980208	SCNN1A
Glycine, serine and threonine metabolism	1/40	0.7058604680708348	0.9999959563699979	0	0	0.825931140407014	0.28770295241618926	GATM
Fatty acid degradation	1/44	0.7397747676713868	0.9999959563699979	0	0	0.7489455558565182	0.22573931085410137	ECI2
Glycosphingolipid biosynthesis	1/45	0.7476247732035645	0.9999959563699979	0	0	0.7318862501890788	0.21287209242935828	B4GALT4
Arginine and proline metabolism	1/49	0.7767305752991932	0.9999959563699979	0	0	0.6707570715474209	0.16947464793098016	GATM
N-Glycan biosynthesis	1/50	0.7834674442557156	0.9999959563699979	0	0	0.6570341947094978	0.16033327510501266	SRD5A3
Vibrio cholerae infection	1/50	0.7834674442557156	0.9999959563699979	0	0	0.6570341947094978	0.16033327510501266	ATP6V0E1
Glycosaminoglycan biosynthesis	1/53	0.8024845797801903	0.9999959563699979	0	0	0.6190323819275566	0.1362135191870684	B4GALT4
Regulation of lipolysis in adipocytes	1/55	0.8142268933110022	0.9999959563699979	0	0	0.5960436309853947	0.12249662988768313	FABP4
Steroid hormone biosynthesis	1/60	0.8406229959570106	0.9999959563699979	0	0	0.545390450943343	0.09468632707085559	SRD5A3
Epithelial cell signaling in Helicobacter pylori infection	1/68	0.8752905973364794	0.9999959563699979	0	0	0.48007052921747334	0.06394507597436291	ATP6V0E1
Synaptic vesicle cycle	1/78	0.9082342270441337	0.9999959563699979	0	0	0.4175076171748385	0.040186349965571966	ATP6V0E1
Cardiac muscle contraction	1/78	0.9082342270441337	0.9999959563699979	0	0	0.4175076171748385	0.040186349965571966	COX5A
Oxidative phosphorylation	2/133	0.9126927126469263	0.9999959563699979	0	0	0.4902544529262087	0.04478769750955423	ATP6V0E1;COX5A
Peroxisome	1/83	0.9212870132773023	0.9999959563699979	0	0	0.39194837871839616	0.032133362246501304	ECI2
Taste transduction	1/83	0.9212870132773023	0.9999959563699979	0	0	0.39194837871839616	0.032133362246501304	SCNN1A
Insulin secretion	1/86	0.928211020370492	0.9999959563699979	0	0	0.37805618087501225	0.02816374107567488	PCLO
Rheumatoid arthritis	1/91	0.9384260835771167	0.9999959563699979	0	0	0.3569606211869107	0.022685270914138536	ATP6V0E1
Phagosome	2/152	0.9457092646976648	0.9999959563699979	0	0	0.42773333333333335	0.023876112458004646	ATP6V0E1;OLR1
Progesterone-mediated oocyte maturation	1/99	0.9518379820085324	0.9999959563699979	0	0	0.3276851505993412	0.01617468506320841	CDC26
Insulin resistance	1/108	0.9634720213506651	0.9999959563699979	0	0	0.29998289455269256	0.011162912506799625	TBC1D4
Influenza A	2/171	0.9666175355729444	0.9999959563699979	0	0	0.37927021696252466	0.012877125860225769	KPNA2;RAE1
Thyroid hormone signaling pathway	1/116	0.9714343352060725	0.9999959563699979	0	0	0.27899877016566593	0.008085831759174308	TBC1D4
Lysosome	1/123	0.9769656025177661	0.9999959563699979	0	0	0.2628951747088186	0.0061264657232619575	CTSC
Cell cycle	1/124	0.9776631560547584	0.9999959563699979	0	0	0.2607442879753257	0.005890236798282005	CDC26
Oocyte meiosis	1/125	0.9783396171801827	0.9999959563699979	0	0	0.25862809296334066	0.005663544637048537	CDC26
Dopaminergic synapse	1/131	0.9819897878363383	0.9999959563699979	0	0	0.24661461666453346	0.004482065298990786	ARNTL
Spliceosome	1/134	0.983577594645785	0.9999959563699979	0	0	0.2410143495177211	0.003990895836638727	CWC15
Ubiquitin mediated proteolysis	1/137	0.9850256087411303	0.9999959563699979	0	0	0.23566115298032692	0.003555570502894232	CDC26
Parkinson disease	1/142	0.9871612010916982	0.9999959563699979	0	0	0.22724537118986088	0.0029364484559510212	COX5A
Apoptosis	1/143	0.9875503355848183	0.9999959563699979	0	0	0.225633334114504	0.0028266917113419633	CTSC
Non-alcoholic fatty liver disease (NAFLD)	1/149	0.9896498936327843	0.9999959563699979	0	0	0.21641858164320726	0.002251627838785579	COX5A
RNA transport	1/165	0.9936766726385821	0.9999959563699979	0	0	0.19514224260379043	0.0012378661361406753	RAE1
Alzheimer disease	1/171	0.9947439188257473	0.9999959563699979	0	0	0.18819614368209847	9.917829430046833E-4	COX5A
Huntington disease	1/193	0.9973321389042281	0.9999959563699979	0	0	0.16644134775374375	4.4463577371763876E-4	COX5A
Human T-cell leukemia virus 1 infection	1/219	0.9988032286361871	0.9999959563699979	0	0	0.14639209879558535	1.7530279134318402E-4	CDC26
Thermogenesis	1/231	0.9991732235415796	0.9999959563699979	0	0	0.1386674383274253	1.1469439340684516E-4	COX5A
Human papillomavirus infection	1/330	0.9999584286931239	0.9999959563699979	0	0	0.09644007707518877	4.009223374152236E-6	ATP6V0E1
Herpes simplex virus 1 infection	1/492	0.9999959563699979	0.9999959563699979	0	0	0.06407176091442979	2.590830185366676E-7	ZNF211
