"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Autophagy","40/128",0.00650807262786586,0.999996211618646,0,0,1.66283084004603,8.37187426779355,"MTMR14;PTEN;PIK3R3;PIK3R1;PIK3CB;AMBRA1;ZFYVE1;HIF1A;IGF1R;CTSL;AKT2;TP53INP2;LAMP2;AKT1;PRKACB;ATG7;CTSD;HRAS;SH3GLB1;ATG3;GABARAPL1;MAP2K2;BAD;ATG9A;DAPK3;EIF2S1;ERN1;VAMP8;MRAS;RRAGC;ATG16L2;RRAGD;DDIT4;RPS6KB2;ATG2A;ATG4B;ULK1;PIK3C3;BCL2L1;ATG4D"
"HIF-1 signaling pathway","30/100",0.0292987877539318,0.999996211618646,0,0,1.56594948550047,5.5281291824221,"CAMK2B;CDKN1A;SERPINE1;CUL2;PIK3R3;PIK3R1;PIK3CB;ENO3;HIF1A;IGF1R;AKT2;MKNK2;ERBB2;EIF4EBP1;AKT1;EP300;HMOX1;TIMP1;IL6R;CREBBP;EGLN3;MAP2K2;EGLN2;NOS3;INSR;RPS6;STAT3;ARNT;PFKL;RPS6KB2"
"Endometrial cancer","19/58",0.0314746709234088,0.999996211618646,0,0,1.7790517545591,6.15297885934118,"GSK3B;CDKN1A;MAP2K2;GADD45B;BAD;ARAF;PTEN;AXIN1;ILK;PIK3R3;PIK3CB;PIK3R1;ELK1;CCND1;APC;AKT2;ERBB2;AKT1;HRAS"
"Acute myeloid leukemia","21/66",0.0336950495770222,0.999996211618646,0,0,1.70428626993388,5.77821958193125,"STAT5A;STAT5B;MAP2K2;CHUK;JUP;BAD;STAT3;ARAF;PIK3R3;PIK3CB;PIK3R1;PML;PER2;CCND1;AKT2;KIT;RPS6KB2;EIF4EBP1;AKT1;HRAS;PPARD"
"Proteoglycans in cancer","54/201",0.0414806293835369,0.999996211618646,0,0,1.34316624109663,4.2746651414565,"ITGB1;CDKN1A;WNT2B;ARAF;HSPB2;PIK3CB;ELK1;IGF1R;PPP1CB;CCND1;CTSL;PLAU;AKT2;KDR;AKT1;TIMP3;PRKACB;HRAS;MAP2K2;PPP1R12A;RPS6;WNT9B;NUDT16L1;HSPG2;MRAS;CTTN;PPP1R12B;PPP1R12C;CAMK2B;CD63;ROCK1;PIK3R3;PIK3R1;HIF1A;SLC9A1;WNT11;GPC1;ERBB2;FLNA;DROSHA;FLNC;SMAD2;FZD4;LUM;PTCH1;FZD6;RDX;STAT3;IGF2;FZD8;MAPK12;PPP1CA;MAPK11;RPS6KB2"
"Nicotinate and nicotinamide metabolism","11/30",0.0419996279186244,0.999996211618646,0,0,2.11292200232829,6.69816246038459,"NT5C3A;NADK2;NMNAT1;NMRK2;NAPRT;NAMPT;ENPP1;AOX1;NMNAT2;NADK;NUDT12"
"Proteasome","15/45",0.0452574435765635,0.999996211618646,0,0,1.82521556746679,5.64975059024554,"PSMD12;PSMD13;ADRM1;PSMA7;PSMB10;PSMB6;PSMD6;PSMC5;PSMD4;PSMB3;PSMD2;PSME3;PSMC1;PSMC2;PSME1"
"Insulin resistance","31/108",0.0478428650891297,0.999996211618646,0,0,1.47072833599149,4.47076894474246,"GSK3B;PYGB;CRTC2;PTEN;PIK3R3;PPP1R3A;PIK3R1;SLC2A4;PIK3CB;PPP1CB;RPS6KA3;GYS1;AKT2;AKT1;PPARGC1B;MLXIP;NOS3;INSR;GFPT2;NR1H2;STAT3;NR1H3;CPT1B;TNFRSF1A;PPP1CA;MLXIPL;G6PC3;TBC1D4;RPS6KB2;SLC27A6;SLC27A5"
"mTOR signaling pathway","41/152",0.0645083540421797,0.999996211618646,0,0,1.3495622234192,3.69909680543552,"GSK3B;WNT2B;CAB39;NPRL3;PTEN;LRP5;PIK3R3;PIK3R1;PIK3CB;WDR24;IGF1R;RPS6KA3;WNT11;AKT2;DVL1;EIF4EBP1;DVL2;AKT1;ATP6V1H;DVL3;HRAS;ATP6V1F;SEC13;MAP2K2;CHUK;FZD4;INSR;RPS6;FZD6;WNT9B;FZD8;TNFRSF1A;RRAGC;RRAGD;DDIT4;RPS6KB2;ULK1;LAMTOR2;LPIN1;LAMTOR4;TELO2"
"Mitophagy","19/65",0.089757438758188,0.999996211618646,0,0,1.50765205221042,3.63441293451808,"USP8;FIS1;GABARAPL1;CALCOCO2;ATG9A;CSNK2A2;AMBRA1;HIF1A;RHOT2;TBK1;MRAS;FUNDC1;TOMM7;ULK1;TBC1D17;HRAS;SQSTM1;ATF4;BCL2L1"
"Non-alcoholic fatty liver disease (NAFLD)","39/149",0.101330287546416,0.999996211618646,0,0,1.29487611053114,2.96445042250163,"GSK3B;NDUFA13;GSK3A;NDUFB7;NDUFA11;NDUFB6;NDUFA12;NDUFB2;PIK3R3;PIK3R1;PIK3CB;ADIPOR1;COX5B;COX6A2;COX5A;AKT2;AKT1;CYC1;IL6R;NDUFV1;MLXIP;NDUFA5;INSR;NDUFA3;NR1H3;TRAF2;EIF2S1;TNFRSF1A;ERN1;MLXIPL;ITCH;NDUFS8;NDUFS7;NDUFS6;DDIT3;UQCRC1;NDUFS3;NDUFS1;ATF4"
"Non-small cell lung cancer","19/66",0.101660036208375,0.999996211618646,0,0,1.47548005102015,3.37312594564183,"RB1;STAT5A;STAT5B;CDKN1A;MAP2K2;GADD45B;BAD;STAT3;ARAF;PIK3R3;PIK3CB;PIK3R1;RXRB;RASSF1;CCND1;AKT2;ERBB2;AKT1;HRAS"
"Thyroid hormone signaling pathway","31/116",0.107181329699661,0.999996211618646,0,0,1.33162435500516,2.97382773119519,"GSK3B;HDAC2;NOTCH1;HDAC3;ATP1A4;PIK3R3;PIK3R1;PIK3CB;MED16;HIF1A;SLC9A1;MED12;RXRB;MED14;PLN;CCND1;AKT2;AKT1;EP300;PRKACB;HRAS;CREBBP;MAP2K2;BAD;STAT1;BMP4;KAT2A;MED24;TBC1D4;PLCD3;PLCB2"
"Spliceosome","35/134",0.118099501610283,0.999996211618646,0,0,1.29088827871314,2.75763139651017,"TCERG1;RNU6-1;SF3B5;RBM25;SF3B2;DDX23;USP39;PQBP1;SART1;PUF60;SNRNP70;TRA2A;CTNNBL1;HSPA8;RBM17;SF3A2;NCBP1;PRPF40B;PRPF40A;THOC2;CWC15;HNRNPM;XAB2;LSM7;PRPF6;HNRNPK;SNW1;PHF5A;DDX39B;SRSF2;ACIN1;RP9;SNRNP200;RBMX;SRSF9"
"Sphingolipid signaling pathway","31/119",0.138187598930329,0.999996211618646,0,0,1.28598086124402,2.54514015398706,"ASAH1;ROCK1;PTEN;PIK3R3;PPP2R2A;PIK3R1;PIK3CB;PPP2R1A;PPP2R5E;PPP2R3C;AKT2;S1PR1;AKT1;FCER1A;CTSD;HRAS;ABCC1;MAP2K2;SPHK2;NOS3;SPHK1;PPP2R5B;TRAF2;PPP2R5D;PPP2R3A;MAPK12;TNFRSF1A;MAPK11;PPP2R2D;DEGS1;PLCB2"
"Renal cell carcinoma","19/69",0.143012278935179,0.999996211618646,0,0,1.38668532773501,2.69685999538578,"CDKN1A;CREBBP;EGLN3;MAP2K2;EGLN2;EPAS1;BAD;PRCC;CUL2;ARAF;ARNT;PIK3R3;PIK3CB;PIK3R1;HIF1A;AKT2;AKT1;EP300;HRAS"
"ABC transporters","13/45",0.153550468248462,0.999996211618646,0,0,1.48210750058234,2.77706333286926,"ABCD4;ABCC3;ABCC1;ABCD3;ABCC2;ABCC8;ABCC5;ABCA9;ABCB8;ABCA7;ABCA10;ABCD1;ABCG1"
"Protein processing in endoplasmic reticulum","41/165",0.171442408419956,0.999996211618646,0,0,1.20706803312786,2.12867398779796,"ERO1A;PPP1R15A;SEC23A;HSP90AB1;ATF6B;PRKCSH;DERL3;CRYAA2;UBE2D1;HSPBP1;RNF5;HSP90B1;UBE2J1;HERPUD1;ERLEC1;LMAN1;LMAN2;SSR1;FBXO6;CAPN1;UBXN6;PDIA3;BCAP31;HSPA8;SEC13;HSP90AA1;SSR2;EDEM2;EIF2AK2;MOGS;TRAF2;RAD23A;EIF2S1;ERN1;DDIT3;DNAJC10;PLAA;STUB1;P4HB;CRYAA;ATF4"
