"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Circadian rhythm","10/31",5.63433555097778e-06,0.00158888262537573,0,0,7.85047118672338,94.8857510169603,"PER2;PER1;PER3;CRY2;RORC;CRY1;PRKAG2;NR1D1;NPAS2;ARNTL"
"Longevity regulating pathway","16/102",0.000231727217966075,0.0223727405749292,0,0,3.07271536193908,25.7184729072474,"HDAC2;INSR;TSC2;PRKAG2;IRS2;PIK3R2;ADCY6;CAMKK2;CREB3L4;ATG101;AKT1S1;RPS6KB2;EIF4EBP1;BAX;ULK1;ATF4"
"Lysosome","18/123",0.000238007878456693,0.0223727405749292,0,0,2.83340891912321,23.6397165104388,"ARSA;ATP6V0B;IDUA;GAA;TCIRG1;NAGPA;MCOLN1;AP4M1;GNPTG;CLN3;NAGLU;AP1G2;NPC1;HYAL1;NEU1;PPT1;ACP5;CTSF"
"mTOR signaling pathway","19/152",0.00119723143793577,0.0663897552882584,0,0,2.35972765098979,15.8756424194677,"SEC13;WNT3A;INSR;FZD7;FZD9;LRP5;TSC2;PIK3R2;SLC3A2;WDR24;FLCN;DEPTOR;AKT1S1;RPS6KB2;GRB10;EIF4EBP1;DVL2;ULK1;TELO2"
"Insulin resistance","15/108",0.00132045076239181,0.0663897552882584,0,0,2.66051011433597,17.6386023701851,"MLXIP;PTPN1;SLC27A1;CRTC2;CPT1A;NOS3;INSR;NR1H2;PRKAG2;IRS2;PIK3R2;CPT1B;CREB3L4;RPS6KB2;SLC27A5"
"AMPK signaling pathway","16/120",0.00143948580102052,0.0663897552882584,0,0,2.53846153846154,16.6103451760774,"CRTC2;CPT1A;INSR;PPP2R5B;TSC2;PRKAG2;IRS2;PIK3R2;CPT1B;CAMKK2;CREB3L4;FASN;AKT1S1;RPS6KB2;EIF4EBP1;ULK1"
"Hepatocellular carcinoma","20/168",0.00164797264899932,0.0663897552882584,0,0,2.2323560309426,14.3054050001103,"SHC4;SMAD2;NQO1;GADD45B;WNT3A;BAD;FZD7;TXNRD1;FZD9;LRP5;KEAP1;PIK3R2;AXIN2;ARID1B;SMARCA4;GADD45G;RPS6KB2;DVL2;BAX;CTNNB1"
"Gastric cancer","18/149",0.0023350361948201,0.0823100258674084,0,0,2.26790258087968,13.7428725143282,"SHC4;SMAD2;GADD45B;JUP;WNT3A;FZD7;FZD9;LRP5;PIK3R2;AXIN2;GADD45G;RXRB;CCNE1;ERBB2;RPS6KB2;DVL2;BAX;CTNNB1"
"Glycerophospholipid metabolism","13/97",0.0037010573294637,0.115966462989863,0,0,2.54956310882562,14.2753524619354,"CDS1;PCYT1B;DGKD;PNPLA7;TAZ;PLD2;PGS1;GPAT4;GPD2;LPCAT3;LPCAT2;PLPP2;LPIN3"
"Aldosterone-regulated sodium reabsorption","7/37",0.00464480631720476,0.130983538145174,0,0,3.83481804949054,20.6006640546196,"SLC9A3R2;INSR;SCNN1B;SCNN1A;PIK3R2;SFN;ATP1B3"
"Transcriptional misregulation in cancer","20/186",0.00536515093423035,0.137542960313905,0,0,1.98837753842224,10.3949012780736,"HDAC2;GADD45B;JUP;ZBTB16;DOT1L;ASPSCR1;TMPRSS2;PLAT;MLLT1;PML;GADD45G;CDK9;RXRB;PER2;SPINT1;BCL6;RARA;BAX;NUPR1;MEN1"
"Autophagy","15/128",0.00686554367517502,0.161340276366613,0,0,2.18728839283629,10.8954085382206,"BAD;DAPK3;TSC2;IRS2;PIK3R2;WIPI2;ZFYVE1;CAMKK2;DEPTOR;ATG101;AKT1S1;RPS6KB2;ATG4B;ULK1;ATG4D"
"Basal cell carcinoma","9/63",0.00968487144756997,0.210087211401133,0,0,2.74044911052785,12.7079839112113,"GADD45B;WNT3A;FZD7;DVL2;FZD9;BAX;CTNNB1;AXIN2;GADD45G"
"Breast cancer","16/147",0.0106874409777055,0.215275596836639,0,0,2.01236426190732,9.1334894365914,"SHC4;JAG1;GADD45B;WNT3A;FZD7;FZD9;LRP5;PIK3R2;AXIN2;BRCA2;GADD45G;ERBB2;RPS6KB2;DVL2;BAX;CTNNB1"
"Fanconi anemia pathway","8/54",0.0116159384402678,0.218379642677035,0,0,2.85831559744603,12.7348739159649,"TOP3B;SLX4;SLX1B;FANCL;FANCA;SLX1A;BRCA2;TELO2"
"Acute myeloid leukemia","9/66",0.0130013258317734,0.229148367785006,0,0,2.59580052493438,11.2727931662078,"PER2;JUP;BAD;ZBTB16;RPS6KB2;RARA;EIF4EBP1;PIK3R2;PML"
"Endometrial cancer","8/58",0.0175053004686648,0.29038204306844,0,0,2.62909090909091,10.635334101353,"GADD45B;BAD;ERBB2;BAX;CTNNB1;PIK3R2;AXIN2;GADD45G"
"Glycosaminoglycan degradation","4/19",0.0211912262923893,0.310978457774413,0,0,4.3746806039489,16.8607541562524,"NAGLU;IDUA;HYAL1;HYAL2"
"Pantothenate and CoA biosynthesis","4/19",0.0211912262923893,0.310978457774413,0,0,4.3746806039489,16.8607541562524,"PANK4;PPCDC;COASY;BCAT2"
"p53 signaling pathway","9/72",0.022055209771235,0.310978457774413,0,0,2.34783152105987,8.95511409402657,"CD82;GADD45B;CCNE1;PERP;TSC2;TNFRSF10B;BAX;SFN;GADD45G"
"ErbB signaling pathway","10/85",0.0240072059828498,0.322382480341126,0,0,2.19182720373614,8.17420310115527,"SHC4;ERBB3;BAD;ERBB2;RPS6KB2;EIF4EBP1;ABL1;PIK3R2;NRG2;PAK4"
