Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteoglycans in cancer	11/201	3.232787026380756E-4	0.06253951025568476	0	0	3.762964912280702	30.24293300861692	MRAS;WNT2B;CTTN;GPC1;ERBB2;AKT1;FZD8;PIK3R1;ELK1;HSPG2;SLC9A1
Carbohydrate digestion and absorption	5/44	5.816629653881413E-4	0.06253951025568476	0	0	8.23278029160382	61.33107957247242	G6PC3;AKT1;PIK3R1;SLC37A4;TAS1R3
HIF-1 signaling pathway	7/100	9.573333125970808E-4	0.06253951025568476	0	0	4.851867572156197	33.72707301430537	PFKL;SERPINE1;ERBB2;AKT1;PIK3R1;TIMP1;IL6R
Pentose phosphate pathway	4/30	0.0011422741599211828	0.06253951025568476	0	0	9.853670759208219	66.75599956446165	G6PD;PFKL;H6PD;PGLS
Central carbon metabolism in cancer	5/65	0.00339462524679483	0.14868458580961355	0	0	5.345588235294118	30.392672846036852	G6PD;PFKL;ERBB2;AKT1;PIK3R1
Phosphatidylinositol signaling system	6/99	0.004505724061871393	0.16445892825830583	0	0	4.1451084082496035	22.393561340707727	INPP5J;PIK3R1;SYNJ2;PLCD3;IP6K2;CDS2
Signaling pathways regulating pluripotency of stem cells	7/139	0.0061247920908834965	0.19161849541478368	0	0	3.411558014354067	17.383288416731187	WNT2B;PCGF2;DVL2;AKT1;FZD8;PIK3R1;TCF3
mTOR signaling pathway	7/152	0.009801213443264503	0.25369564872226774	0	0	3.1036297640653356	14.355060711616062	WNT2B;DDIT4;DVL2;AKT1;FZD8;PIK3R1;WDR24
Circadian rhythm	3/31	0.012132358235881095	0.25369564872226774	0	0	6.8394016697588125	30.174613703332884	PER2;PER1;PER3
Endometrial cancer	4/58	0.012598938273308484	0.25369564872226774	0	0	4.737604053564966	20.72295634082922	ERBB2;AKT1;PIK3R1;ELK1
Hippo signaling pathway	7/160	0.012742703817100206	0.25369564872226774	0	0	2.9401444788441693	12.827251808978025	CCND3;WNT2B;SERPINE1;DVL2;FZD8;FRMD1;GLI2
Basal cell carcinoma	4/63	0.016658739389173297	0.28866257285310654	0	0	4.335008005300061	17.751078832883678	WNT2B;DVL2;FZD8;GLI2
Circadian entrainment	5/97	0.01776732139179948	0.28866257285310654	0	0	3.480569764137539	14.028068836892713	PER2;PER1;PER3;GNG5;ADCY3
Apelin signaling pathway	6/137	0.02035586619061977	0.28866257285310654	0	0	2.937004129645852	11.43782818659572	MRAS;GNG5;SERPINE1;AKT1;ADCY3;SLC9A1
Insulin signaling pathway	6/137	0.02035586619061977	0.28866257285310654	0	0	2.937004129645852	11.43782818659572	PYGB;G6PC3;PHKG1;AKT1;PIK3R1;ELK1
Human T-cell leukemia virus 1 infection	8/219	0.021616416225662897	0.28866257285310654	0	0	2.4373015500602193	9.34535079906011	CCND3;ATF6B;AKT1;TSPO;ADCY3;PIK3R1;TCF3;ELK1
Glucagon signaling pathway	5/103	0.02240759697946489	0.28866257285310654	0	0	3.2664732559690544	12.40722576485186	PYGB;PFKL;G6PC3;PHKG1;AKT1
Breast cancer	6/147	0.027585052177683086	0.3191798907336123	0	0	2.727310777816533	9.792358185406734	WNT2B;ERBB2;DVL2;AKT1;FZD8;PIK3R1
Gastric cancer	6/149	0.029210447908608616	0.3191798907336123	0	0	2.68889143643242	9.500468740220477	WNT2B;ERBB2;DVL2;AKT1;FZD8;PIK3R1
Non-alcoholic fatty liver disease (NAFLD)	6/149	0.029210447908608616	0.3191798907336123	0	0	2.68889143643242	9.500468740220477	ERN1;NDUFA3;AKT1;PIK3R1;COX6A2;IL6R
Cholinergic synapse	5/112	0.030731673107742837	0.3191798907336123	0	0	2.990348787490074	10.413774401109377	GNG5;KCNQ1;AKT1;ADCY3;PIK3R1
ABC transporters	3/45	0.03269316945156601	0.3191798907336123	0	0	4.5563543599257885	15.585416096532823	ABCB8;ABCA7;ABCD1
Glycosaminoglycan degradation	2/19	0.034627061426728695	0.3191798907336123	0	0	7.489815343613174	25.189146134074463	GALNS;HYAL2
Thyroid hormone signaling pathway	5/116	0.03497861816258765	0.3191798907336123	0	0	2.881999646705529	9.663397595810283	AKT1;PIK3R1;MED16;PLCD3;SLC9A1
ErbB signaling pathway	4/85	0.043582734409345576	0.38178475342586726	0	0	3.1540595970563396	9.881965851569804	ERBB2;AKT1;PIK3R1;ELK1
Hepatocellular carcinoma	6/168	0.047823520091062666	0.3945299337179298	0	0	2.3712204007285975	7.209073677194911	WNT2B;DVL2;AKT1;FZD8;PIK3R1;ELK1
Autophagy	5/128	0.049812343433605806	0.3945299337179298	0	0	2.5992348158775704	7.79638524642315	ERN1;MRAS;DDIT4;AKT1;PIK3R1
Purine metabolism	5/129	0.05119213023417461	0.3945299337179298	0	0	2.5781414716424202	7.662673358760925	NME3;ADCY3;NME4;PFAS;PAPSS2
Relaxin signaling pathway	5/130	0.05259414258069704	0.3945299337179298	0	0	2.5573856209150327	7.53188559951484	ATF6B;GNG5;AKT1;ADCY3;PIK3R1
Regulation of lipolysis in adipocytes	3/55	0.054045196399716416	0.3945299337179298	0	0	3.6782592407592407	10.732919950951043	AKT1;ADCY3;PIK3R1
Pyrimidine metabolism	3/57	0.05894975312599873	0.4164514817610878	0	0	3.5416666666666665	10.026705682843383	CAD;NME3;NME4
Human cytomegalovirus infection	7/225	0.06259913075092725	0.4183775360479182	0	0	2.056630251086432	5.698930419348444	ATF6B;GNG5;AKT1;ADCY3;PIK3R1;ELK1;IL6R
AGE-RAGE signaling pathway in diabetic complications	4/100	0.07075020879601476	0.4183775360479182	0	0	2.659201954397394	7.04316174139555	SERPINE1;AKT1;PIK3R1;PLCD3
Pathways in cancer	13/530	0.07183337929432557	0.4183775360479182	0	0	1.617722274869212	4.260119574543689	WNT2B;EPAS1;FZD8;ADCY3;PIK3R1;ELK1;GLI2;CCND3;GNG5;ERBB2;DVL2;AKT1;IL6R
Melanogenesis	4/101	0.07281074257609306	0.4183775360479182	0	0	2.631653178414319	6.894646508378474	WNT2B;DVL2;FZD8;ADCY3
Apoptosis	5/143	0.07283839641305562	0.4183775360479182	0	0	2.3149332196646775	6.063995439693642	ERN1;PIDD1;PARP3;AKT1;PIK3R1
Longevity regulating pathway	4/102	0.07490159114477356	0.4183775360479182	0	0	2.6046666223492654	6.750202303075069	ATF6B;AKT1;ADCY3;PIK3R1
Adrenergic signaling in cardiomyocytes	5/145	0.07628299820783842	0.4183775360479182	0	0	2.281629318394024	5.871328575185859	ATF6B;KCNQ1;AKT1;ADCY3;SLC9A1
Phospholipase D signaling pathway	5/148	0.08161244671334388	0.4183775360479182	0	0	2.2334201745966453	5.5964450775787755	MRAS;AVPR2;AKT1;ADCY3;PIK3R1
Acute myeloid leukemia	3/66	0.083445263322303	0.4183775360479182	0	0	3.0343228200371057	7.5359361071061075	PER2;AKT1;PIK3R1
Non-small cell lung cancer	3/66	0.083445263322303	0.4183775360479182	0	0	3.0343228200371057	7.5359361071061075	ERBB2;AKT1;PIK3R1
Galactose metabolism	2/31	0.08346241357820612	0.4183775360479182	0	0	4.387903135810736	10.896738239954985	PFKL;G6PC3
Insulin resistance	4/108	0.08807195943067309	0.4183775360479182	0	0	2.4536457028313707	5.961380244266845	PYGB;G6PC3;AKT1;PIK3R1
Focal adhesion	6/199	0.0911110797316813	0.4183775360479182	0	0	1.9871910303236218	4.760665581485814	CCND3;ACTN1;ERBB2;AKT1;PIK3R1;ELK1
Renal cell carcinoma	3/69	0.09243700910791118	0.4183775360479182	0	0	2.895956316410862	6.895931830284034	EPAS1;AKT1;PIK3R1
TNF signaling pathway	4/110	0.0926949563574023	0.4183775360479182	0	0	2.40710466474095	5.72515694612742	CEBPB;ATF6B;AKT1;PIK3R1
Base excision repair	2/33	0.09290216827516543	0.4183775360479182	0	0	4.1043950307965344	9.752897512189637	PARP3;POLD1
Fructose and mannose metabolism	2/33	0.09290216827516543	0.4183775360479182	0	0	4.1043950307965344	9.752897512189637	PFKL;TKFC
Cushing syndrome	5/155	0.0947944694197868	0.4183775360479182	0	0	2.1284313725490196	5.014678413542464	WNT2B;ATF6B;DVL2;FZD8;ADCY3
RIG-I-like receptor signaling pathway	3/70	0.09551998539906809	0.4183775360479182	0	0	2.852587710796666	6.699073410481765	NLRX1;TKFC;PIN1
p53 signaling pathway	3/72	0.10181007634229981	0.4211754733732867	0	0	2.7696216826651607	6.327605647234257	PIDD1;CCND3;SERPINE1
PI3K-Akt signaling pathway	9/354	0.10247546290391514	0.4211754733732867	0	0	1.6709473078030521	3.806638357379435	CCND3;G6PC3;ATF6B;GNG5;DDIT4;ERBB2;AKT1;PIK3R1;IL6R
