Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA transport	7/165	5.532657442964614E-4	0.07081801526994706	0	0	5.314024390243903	39.85344057303797	EIF2B5;UPF1;PRMT5;NUP85;PYM1;EIF3CL;EIF3C
mRNA surveillance pathway	5/91	0.001107750367679498	0.07089602353148787	0	0	6.914752031381339	47.05781953883395	UPF1;PPP2R2D;PYM1;SYMPK;SMG6
Protein processing in endoplasmic reticulum	5/165	0.013815809988823	0.5516719053598684	0	0	3.7027484939759034	15.854953148430525	HSPA8;DNAJB1;HSP90AB1;SSR4;DDIT3
Acute myeloid leukemia	3/66	0.018966136616441993	0.5516719053598684	0	0	5.602607709750567	22.214900800961953	PER2;STAT5B;ZBTB16
Antigen processing and presentation	3/77	0.02833654365952624	0.5516719053598684	0	0	4.767133204633205	16.988170246389117	HSPA8;HSP90AB1;TAP1
RNA polymerase	2/31	0.02873279586360795	0.5516719053598684	0	0	8.079983676800653	28.681648109711837	POLR3D;POLR2F
Estrogen signaling pathway	4/137	0.030169557324367807	0.5516719053598684	0	0	3.547071270991851	12.418019488609154	HSPA8;HSP90AB1;FKBP4;ADCY7
Necroptosis	4/162	0.05056379248504342	0.6875589099918828	0	0	2.9820359281437128	8.899944443933352	STAT5B;HSP90AB1;SLC25A6;SPATA2L
Progesterone-mediated oocyte maturation	3/99	0.05312856201890684	0.6875589099918828	0	0	3.6705729166666665	10.773280551158212	HSP90AB1;PLK1;ADCY7
Parathyroid hormone synthesis, secretion and action	3/106	0.06263282044511385	0.6875589099918828	0	0	3.4199029126213594	9.474724229755411	MMP15;GNA11;ADCY7
Amino sugar and nucleotide sugar metabolism	2/48	0.06347256353740853	0.6875589099918828	0	0	5.089529199897093	14.032582896610558	NAGK;AMDHD2
Ovarian steroidogenesis	2/49	0.0658125650119077	0.6875589099918828	0	0	4.980989550547652	13.552996128362162	ADCY7;BMP6
Glutamatergic synapse	3/114	0.07438686316463175	0.6875589099918828	0	0	3.1721364221364223	8.242720117714278	GRM2;ADCY7;SHANK2
Cytosolic DNA-sensing pathway	2/63	0.10128196201290059	0.6875589099918828	0	0	3.8350955475797845	8.781781837248069	POLR3D;POLR2F
Cortisol synthesis and secretion	2/65	0.10670800260527752	0.6875589099918828	0	0	3.7129707898938666	8.308362959582762	GNA11;ADCY7
Ribosome	3/153	0.14345256405233914	0.6875589099918828	0	0	2.3427380952380954	4.54901371710112	RPS9;MRPS2;RPS11
Endocytosis	4/244	0.15694588925185704	0.6875589099918828	0	0	1.9549900199600798	3.620356454959528	HSPA8;WIPF2;VPS26B;WASHC1
Insulin secretion	2/86	0.1675498726373961	0.6875589099918828	0	0	2.781769512538743	4.969559533890929	GNA11;ADCY7
cGMP-PKG signaling pathway	3/166	0.16997193692372245	0.6875589099918828	0	0	2.154469763365469	3.817983120520309	GNA11;ADCY7;SLC25A6
Other types of O-glycan biosynthesis	1/22	0.17222006006501586	0.6875589099918828	0	0	5.548459383753501	9.759641298689061	POMT2
Gap junction	2/88	0.17362622782113976	0.6875589099918828	0	0	2.716801981560479	4.756713853112175	GNA11;ADCY7
Tight junction	3/170	0.17840203352278958	0.6875589099918828	0	0	2.102437981180496	3.6240052728249483	PPP2R2D;SYMPK;ARHGEF18
Mannose type O-glycan biosynthesis	1/23	0.17930536219169482	0.6875589099918828	0	0	5.295989304812834	9.102031419165991	POMT2
TGF-beta signaling pathway	2/90	0.17973799908101767	0.6875589099918828	0	0	2.6547875201721354	4.556292485810776	RGMB;BMP6
Protein digestion and absorption	2/90	0.17973799908101767	0.6875589099918828	0	0	2.6547875201721354	4.556292485810776	COL1A1;SLC3A2
Influenza A	3/171	0.18052751957649749	0.6875589099918828	0	0	2.0898171768707483	3.577499614282872	HSPA8;DNAJB1;SLC25A6
Th1 and Th2 cell differentiation	2/92	0.18588224259247724	0.6875589099918828	0	0	2.5955292570677186	4.367346306847491	STAT5B;MAML3
GnRH signaling pathway	2/93	0.18896564586465034	0.6875589099918828	0	0	2.5668769100721764	4.276904762917539	GNA11;ADCY7
Amoebiasis	2/96	0.19825681330040762	0.6875589099918828	0	0	2.4845776155105126	4.020523749605022	COL1A1;GNA11
Circadian entrainment	2/97	0.20136639480771878	0.6875589099918828	0	0	2.4582995951417006	3.9397426411885927	PER2;ADCY7
Aldosterone synthesis and secretion	2/98	0.20448168874327274	0.6875589099918828	0	0	2.432569033530572	3.861160510775373	GNA11;ADCY7
AGE-RAGE signaling pathway in diabetic complications	2/100	0.21072812874852287	0.6875589099918828	0	0	2.382683250815119	3.7102821101376557	COL1A1;STAT5B
Transcriptional misregulation in cancer	3/186	0.2131721682037844	0.6875589099918828	0	0	1.9170569867291178	2.963108982040274	PER2;DDIT3;ZBTB16
Longevity regulating pathway	2/102	0.21699361295252756	0.6875589099918828	0	0	2.334792899408284	3.5673005575270658	HSPA8;ADCY7
Calcium signaling pathway	3/188	0.2176203000427026	0.6875589099918828	0	0	1.896138996138996	2.8916185633415386	GNA11;ADCY7;SLC25A6
Chagas disease (American trypanosomiasis)	2/103	0.22013273056319618	0.6875589099918828	0	0	2.3115589665475422	3.4986013459181224	GNA11;PPP2R2D
Th17 cell differentiation	2/107	0.23272480615647825	0.6875589099918828	0	0	2.223048746125669	3.240979683406698	STAT5B;HSP90AB1
Circadian rhythm	1/31	0.23385949588968713	0.6875589099918828	0	0	3.882156862745098	5.640908977456096	PER2
Galactose metabolism	1/31	0.23385949588968713	0.6875589099918828	0	0	3.882156862745098	5.640908977456096	GAA
Drug metabolism	2/108	0.23588029489751133	0.6875589099918828	0	0	2.2019649436195157	3.1805860459668467	UPP1;ITPA
Cholinergic synapse	2/112	0.24852388119153007	0.6875589099918828	0	0	2.121463152232383	2.9535356582206664	GNA11;ADCY7
Starch and sucrose metabolism	1/36	0.26610895797554424	0.6875589099918828	0	0	3.32672268907563	4.404079961053591	GAA
DNA replication	1/36	0.26610895797554424	0.6875589099918828	0	0	3.32672268907563	4.404079961053591	MCM7
Sphingolipid signaling pathway	2/119	0.2706937779202891	0.6875589099918828	0	0	1.9938299701613311	2.605471343748818	ACER1;PPP2R2D
Primary immunodeficiency	1/37	0.272395031891726	0.6875589099918828	0	0	3.2341503267973857	4.206018784458753	TAP1
AMPK signaling pathway	2/120	0.273861534385507	0.6875589099918828	0	0	1.9768328151639756	2.5602607210946497	PPP2R2D;EEF2
Cell cycle	2/124	0.28652501127086366	0.6875589099918828	0	0	1.9116306140265786	2.3894033967612116	MCM7;PLK1
Platelet activation	2/124	0.28652501127086366	0.6875589099918828	0	0	1.9116306140265786	2.3894033967612116	COL1A1;ADCY7
Human T-cell leukemia virus 1 infection	3/219	0.288491164736569	0.6875589099918828	0	0	1.6214451058201058	2.0156035234757086	STAT5B;ADCY7;SLC25A6
Oocyte meiosis	2/125	0.28968791545274036	0.6875589099918828	0	0	1.8959926877375282	2.3490422053637747	PLK1;ADCY7
Ferroptosis	1/40	0.29093387874275356	0.6875589099918828	0	0	2.984917043740573	3.6853554637430403	SLC3A2
Homologous recombination	1/41	0.29700853397468296	0.6875589099918828	0	0	2.9101470588235294	3.5329022520011195	TOP3A
Purine metabolism	2/129	0.3023214799285901	0.6875589099918828	0	0	1.8359036481386573	2.1962260378807397	ADCY7;ITPA
Human cytomegalovirus infection	3/225	0.3024703942511884	0.6875589099918828	0	0	1.5771396396396395	1.885899226465162	GNA11;TAP1;ADCY7
Relaxin signaling pathway	2/130	0.30547437045839765	0.6875589099918828	0	0	1.8214681952662721	2.160059820910136	COL1A1;ADCY7
Vascular smooth muscle contraction	2/132	0.31177221685476236	0.6875589099918828	0	0	1.7932635411925353	2.090017153188162	GNA11;ADCY7
FoxO signaling pathway	2/132	0.31177221685476236	0.6875589099918828	0	0	1.7932635411925353	2.090017153188162	PLK1;FOXO4
Spliceosome	2/134	0.31805826348190447	0.6875589099918828	0	0	1.7659135736058813	2.0228905432425552	HSPA8;RBMX
ABC transporters	1/45	0.3207941115421065	0.6875589099918828	0	0	2.645053475935829	3.0073087815354977	TAP1
