Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Aldosterone-regulated sodium reabsorption	2/37	0.011286296551737279	0.4820529510840205	0	0	13.363361344537815	59.92353036919359	INSR;SCNN1A
Insulin resistance	3/108	0.011689760156260753	0.4820529510840205	0	0	6.737414965986394	29.975042294630047	MLXIP;CPT1A;INSR
AMPK signaling pathway	3/120	0.015494862492966596	0.4820529510840205	0	0	6.042735042735043	25.181568040860263	CPT1A;INSR;CAMKK2
PI3K-Akt signaling pathway	5/354	0.019161912934671874	0.4820529510840205	0	0	3.4181284506254803	13.518119235349085	ERBB3;ITGA3;INSR;VEGFC;LAMB1
Necroptosis	3/162	0.033724025617718444	0.4820529510840205	0	0	4.437106918238993	15.039772545512056	CHMP4C;TNFRSF10B;STAT6
Adipocytokine signaling pathway	2/69	0.036359513416751664	0.4820529510840205	0	0	6.969622475856014	23.099415535174668	CPT1A;CAMKK2
PPAR signaling pathway	2/74	0.04128496968849529	0.4820529510840205	0	0	6.483986928104575	20.66613126765139	CPT1A;ANGPTL4
Pertussis	2/76	0.04332175808903185	0.4820529510840205	0	0	6.308108108108108	19.801783889954116	SFTPA2;SFTPA1
ECM-receptor interaction	2/82	0.04965026010050812	0.4820529510840205	0	0	5.833235294117647	17.515756903221884	ITGA3;LAMB1
Focal adhesion	3/199	0.05603305194218884	0.4820529510840205	0	0	3.5927478134110786	10.353629327190873	ITGA3;VEGFC;LAMB1
Proteoglycans in cancer	3/201	0.05739846201275604	0.4820529510840205	0	0	3.556096681096681	10.162391800118439	TFAP4;ERBB3;TIMP3
Rap1 signaling pathway	3/206	0.0608808537655155	0.4820529510840205	0	0	3.467628430682618	9.705325165121378	INSR;VEGFC;PFN2
Small cell lung cancer	2/93	0.062046419446458084	0.4820529510840205	0	0	5.125274725274726	14.247610127016028	ITGA3;LAMB1
Longevity regulating pathway	2/102	0.07288267822284415	0.5257964643219472	0	0	4.661882352941176	12.209023639110253	INSR;CAMKK2
Pathways in cancer	5/530	0.08127707478609081	0.5326373345565619	0	0	2.251800232288037	5.6517737789048725	ITGA3;VEGFC;STAT6;LAMB1;AXIN2
Autophagy	2/128	0.10712078219458003	0.5326373345565619	0	0	3.6950513538748835	8.253999342485079	DEPTOR;CAMKK2
Folate biosynthesis	1/26	0.10722205798038985	0.5326373345565619	0	0	9.250232558139535	20.654412170825523	SPR
Circadian rhythm	1/31	0.12649849758251608	0.5326373345565619	0	0	7.706589147286822	15.93356455305491	CRY1
Phospholipase D signaling pathway	2/148	0.13580370996281216	0.5326373345565619	0	0	3.1856567284448025	6.360306200285701	DGKD;INSR
Cytokine-cytokine receptor interaction	3/294	0.1364643780543516	0.5326373345565619	0	0	2.408198330878743	4.796388543397616	CLCF1;TNFRSF10B;TNFRSF11A
Non-alcoholic fatty liver disease (NAFLD)	2/149	0.13728046955095105	0.5326373345565619	0	0	3.163825530212085	6.2825008113717375	MLXIP;INSR
MAPK signaling pathway	3/295	0.13745713869687806	0.5326373345565619	0	0	2.399828767123288	4.762323707785549	ERBB3;INSR;VEGFC
mTOR signaling pathway	2/152	0.14173218776402546	0.5326373345565619	0	0	3.100078431372549	6.056982852198624	DEPTOR;INSR
Phagosome	2/152	0.14173218776402546	0.5326373345565619	0	0	3.100078431372549	6.056982852198624	SFTPA2;SFTPA1
Hepatocellular carcinoma	2/168	0.16596073190388008	0.5326373345565619	0	0	2.79900779588944	5.027029402909774	AXIN2;ARID1B
Human papillomavirus infection	3/330	0.17366837949067931	0.5326373345565619	0	0	2.13914373088685	3.7448014080522065	ITGA3;LAMB1;AXIN2
Fatty acid degradation	1/44	0.17471291455487917	0.5326373345565619	0	0	5.373174689021092	9.374100421731853	CPT1A
Basal transcription factors	1/45	0.17831082359423733	0.5326373345565619	0	0	5.2507928118393234	9.053559008294748	TAF12
Type II diabetes mellitus	1/46	0.1818932267495944	0.5326373345565619	0	0	5.133850129198966	8.749802668901918	INSR
Hedgehog signaling pathway	1/47	0.18546019010768772	0.5326373345565619	0	0	5.021991911021233	8.461629644137508	EVC2
Ovarian steroidogenesis	1/49	0.19254806017668188	0.5326373345565619	0	0	4.8122577519379846	7.927759104072992	INSR
Cholesterol metabolism	1/50	0.19606909758966404	0.5326373345565619	0	0	4.713811105837684	7.6801565438185	ANGPTL4
N-Glycan biosynthesis	1/50	0.19606909758966404	0.5326373345565619	0	0	4.713811105837684	7.6801565438185	DPAGT1
Regulation of lipolysis in adipocytes	1/55	0.21344789833274336	0.5326373345565619	0	0	4.276270456503014	6.604111784227494	INSR
Endometrial cancer	1/58	0.22369637344037802	0.5326373345565619	0	0	4.050591595267238	6.06562166400297	AXIN2
Glycerolipid metabolism	1/61	0.2338128298289642	0.5326373345565619	0	0	3.847480620155039	5.591291022095878	DGKD
Regulation of actin cytoskeleton	2/214	0.23863556105201197	0.5326373345565619	0	0	2.186570477247503	3.1329569694971995	ITGA3;PFN2
Basal cell carcinoma	1/63	0.24048462138146565	0.5326373345565619	0	0	3.7229932483120782	5.305634460910151	AXIN2
Inflammatory bowel disease (IBD)	1/65	0.24709897839849176	0.5326373345565619	0	0	3.606286337209302	5.041466768870125	STAT6
Shigellosis	1/65	0.24709897839849176	0.5326373345565619	0	0	3.606286337209302	5.041466768870125	PFN2
Prolactin signaling pathway	1/70	0.2633867919915771	0.5326373345565619	0	0	3.344118638355241	4.461494467390245	TNFRSF11A
Thermogenesis	2/231	0.2660249557211215	0.5326373345565619	0	0	2.022501926534806	2.67812657926385	CPT1A;ARID1B
Ras signaling pathway	2/232	0.26763805294628235	0.5326373345565619	0	0	2.013606138107417	2.6541740394806594	INSR;VEGFC
Adherens junction	1/72	0.2698039499235737	0.5326373345565619	0	0	3.2495905666557485	4.257157627032457	INSR
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1/72	0.2698039499235737	0.5326373345565619	0	0	3.2495905666557485	4.257157627032457	ITGA3
p53 signaling pathway	1/72	0.2698039499235737	0.5326373345565619	0	0	3.2495905666557485	4.257157627032457	TNFRSF10B
Synaptic vesicle cycle	1/78	0.28872569731262004	0.5326373345565619	0	0	2.9954696466324373	3.7212065983552876	UNC13B
Taste transduction	1/83	0.304122936310001	0.5326373345565619	0	0	2.8121100397050482	3.347319999966344	SCNN1A
ErbB signaling pathway	1/85	0.31018916078206055	0.5326373345565619	0	0	2.744878183831672	3.2130802121239235	ERBB3
Hypertrophic cardiomyopathy (HCM)	1/85	0.31018916078206055	0.5326373345565619	0	0	2.744878183831672	3.2130802121239235	ITGA3
Colorectal cancer	1/86	0.31320264045302676	0.5326373345565619	0	0	2.7124487004103965	3.1488949448167403	AXIN2
Salmonella infection	1/86	0.31320264045302676	0.5326373345565619	0	0	2.7124487004103965	3.1488949448167403	PFN2
TGF-beta signaling pathway	1/90	0.3251269742549201	0.5326373345565619	0	0	2.5900182910896263	2.909987811567518	RGMB
Dilated cardiomyopathy (DCM)	1/91	0.32807593746577585	0.5326373345565619	0	0	2.561111111111111	2.8543844073137725	ITGA3
Morphine addiction	1/91	0.32807593746577585	0.5326373345565619	0	0	2.561111111111111	2.8543844073137725	PDE4D
Rheumatoid arthritis	1/91	0.32807593746577585	0.5326373345565619	0	0	2.561111111111111	2.8543844073137725	TNFRSF11A
Th1 and Th2 cell differentiation	1/92	0.33101216216276746	0.5326373345565619	0	0	2.5328392537694864	2.8003074857059307	STAT6
NF-kappa B signaling pathway	1/95	0.33974494805964595	0.5326373345565619	0	0	2.4516328550222664	2.64668499944949	TNFRSF11A
Amoebiasis	1/96	0.34263076034933154	0.5326373345565619	0	0	2.425703794369645	2.598175972333266	LAMB1
Glycerophospholipid metabolism	1/97	0.3455041038207423	0.5326373345565619	0	0	2.40031492248062	2.550936503129148	DGKD
Hematopoietic cell lineage	1/97	0.3455041038207423	0.5326373345565619	0	0	2.40031492248062	2.550936503129148	ITGA3
Prostate cancer	1/97	0.3455041038207423	0.5326373345565619	0	0	2.40031492248062	2.550936503129148	SPINT1
Choline metabolism in cancer	1/99	0.35121359696130666	0.5326373345565619	0	0	2.35109159943047	2.4600898570326124	DGKD
Phosphatidylinositol signaling system	1/99	0.35121359696130666	0.5326373345565619	0	0	2.35109159943047	2.4600898570326124	DGKD
AGE-RAGE signaling pathway in diabetic complications	1/100	0.3540498524990138	0.5326373345565619	0	0	2.327225745830397	2.4163993335324085	VEGFC
HIF-1 signaling pathway	1/100	0.3540498524990138	0.5326373345565619	0	0	2.327225745830397	2.4163993335324085	INSR
Ribosome biogenesis in eukaryotes	1/101	0.35687385084489015	0.5326373345565619	0	0	2.3038372093023254	2.3738114693889174	UTP14A
Glucagon signaling pathway	1/103	0.36248528515535094	0.5326373345565619	0	0	2.25843593251254	2.2917961889497196	CPT1A
