Gene stable ID,Transcript stable ID,Gene name,Gene description,Human gene name,Human gene stable ID
ENSPANG00000025484,ENSPANT00000026719,DUSP3,dual specificity phosphatase 3 [Source:NCBI gene (formerly Entrezgene);Acc:101012797],DUSP3,ENSG00000108861
ENSPANG00000031181,ENSPANT00000003605,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034036,ENSPANT00000033938,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030850,ENSPANT00000008305,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000014894,ENSPANT00000011872,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030265,ENSPANT00000016185,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000035460,ENSPANT00000057083,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000001523,ENSPANT00000016453,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000033049,ENSPANT00000037488,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000001871,ENSPANT00000018636,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000019417,ENSPANT00000018529,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000033463,ENSPANT00000046266,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000011121,ENSPANT00000018080,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000008010,ENSPANT00000014269,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000029644,ENSPANT00000048191,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031607,ENSPANT00000037823,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034390,ENSPANT00000049605,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000029302,ENSPANT00000040248,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000003471,ENSPANT00000016122,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000002909,ENSPANT00000001902,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000032891,ENSPANT00000049617,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031303,ENSPANT00000050469,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000032306,ENSPANT00000039640,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034637,ENSPANT00000034970,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031588,ENSPANT00000056937,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034847,ENSPANT00000056810,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000029581,ENSPANT00000053649,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000031114,ENSPANT00000050899,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000030592,ENSPANT00000049726,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000004258,ENSPANT00000009397,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000034182,ENSPANT00000051490,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000029715,ENSPANT00000033539,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000005142,ENSPANT00000009051,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000003135,ENSPANT00000028997,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000035927,ENSPANT00000050649,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000029894,ENSPANT00000012294,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000013540,ENSPANT00000003610,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
ENSPANG00000000485,ENSPANT00000010118,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],,
