Gene stable ID,Transcript stable ID,Gene name,Gene description,Human gene name,Human gene stable ID
ENSPANG00000001043,ENSPANT00000002288,,glycine cleavage system protein H [Source:NCBI gene (formerly Entrezgene);Acc:101001427],AC092718.8,ENSG00000284512
ENSPANG00000001043,ENSPANT00000002288,,glycine cleavage system protein H [Source:NCBI gene (formerly Entrezgene);Acc:101001427],AC092718.3,ENSG00000260643
ENSPANG00000001043,ENSPANT00000053702,,glycine cleavage system protein H [Source:NCBI gene (formerly Entrezgene);Acc:101001427],AC092718.8,ENSG00000284512
ENSPANG00000001043,ENSPANT00000053702,,glycine cleavage system protein H [Source:NCBI gene (formerly Entrezgene);Acc:101001427],AC092718.3,ENSG00000260643
ENSPANG00000001043,ENSPANT00000047140,,glycine cleavage system protein H [Source:NCBI gene (formerly Entrezgene);Acc:101001427],AC092718.8,ENSG00000284512
ENSPANG00000001043,ENSPANT00000047140,,glycine cleavage system protein H [Source:NCBI gene (formerly Entrezgene);Acc:101001427],AC092718.3,ENSG00000260643
ENSPANG00000003568,ENSPANT00000046386,APBA3,amyloid beta precursor protein binding family A member 3 [Source:NCBI gene (formerly Entrezgene);Acc:100998144],APBA3,ENSG00000011132
ENSPANG00000003568,ENSPANT00000002849,APBA3,amyloid beta precursor protein binding family A member 3 [Source:NCBI gene (formerly Entrezgene);Acc:100998144],APBA3,ENSG00000011132
ENSPANG00000003568,ENSPANT00000035964,APBA3,amyloid beta precursor protein binding family A member 3 [Source:NCBI gene (formerly Entrezgene);Acc:100998144],APBA3,ENSG00000011132
ENSPANG00000003914,ENSPANT00000021823,TOX4,TOX high mobility group box family member 4 [Source:NCBI gene (formerly Entrezgene);Acc:101026801],TOX4,ENSG00000092203
ENSPANG00000004119,ENSPANT00000000426,,ETS transcription factor ELK1 [Source:NCBI gene (formerly Entrezgene);Acc:101021974],ELK1,ENSG00000126767
ENSPANG00000004119,ENSPANT00000035957,,ETS transcription factor ELK1 [Source:NCBI gene (formerly Entrezgene);Acc:101021974],ELK1,ENSG00000126767
ENSPANG00000004973,ENSPANT00000005639,,,,
ENSPANG00000005274,ENSPANT00000039207,,branched chain keto acid dehydrogenase E1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:101006060],AC011462.1,ENSG00000255730
