Gene stable ID,Transcript stable ID,Gene name,Gene description,Human gene name,Human gene stable ID
ENSPANG00000000275,ENSPANT00000034967,,Bardet-Biedl syndrome 1 [Source:NCBI gene (formerly Entrezgene);Acc:101025560],BBS1,ENSG00000174483
ENSPANG00000000275,ENSPANT00000034967,,Bardet-Biedl syndrome 1 [Source:NCBI gene (formerly Entrezgene);Acc:101025560],AP002748.5,ENSG00000256349
ENSPANG00000000275,ENSPANT00000001420,,Bardet-Biedl syndrome 1 [Source:NCBI gene (formerly Entrezgene);Acc:101025560],BBS1,ENSG00000174483
ENSPANG00000000275,ENSPANT00000001420,,Bardet-Biedl syndrome 1 [Source:NCBI gene (formerly Entrezgene);Acc:101025560],AP002748.5,ENSG00000256349
ENSPANG00000000275,ENSPANT00000059017,,Bardet-Biedl syndrome 1 [Source:NCBI gene (formerly Entrezgene);Acc:101025560],BBS1,ENSG00000174483
ENSPANG00000000275,ENSPANT00000059017,,Bardet-Biedl syndrome 1 [Source:NCBI gene (formerly Entrezgene);Acc:101025560],AP002748.5,ENSG00000256349
ENSPANG00000000275,ENSPANT00000039509,,Bardet-Biedl syndrome 1 [Source:NCBI gene (formerly Entrezgene);Acc:101025560],BBS1,ENSG00000174483
ENSPANG00000000275,ENSPANT00000039509,,Bardet-Biedl syndrome 1 [Source:NCBI gene (formerly Entrezgene);Acc:101025560],AP002748.5,ENSG00000256349
ENSPANG00000000275,ENSPANT00000034859,,Bardet-Biedl syndrome 1 [Source:NCBI gene (formerly Entrezgene);Acc:101025560],BBS1,ENSG00000174483
ENSPANG00000000275,ENSPANT00000034859,,Bardet-Biedl syndrome 1 [Source:NCBI gene (formerly Entrezgene);Acc:101025560],AP002748.5,ENSG00000256349
ENSPANG00000000275,ENSPANT00000046240,,Bardet-Biedl syndrome 1 [Source:NCBI gene (formerly Entrezgene);Acc:101025560],BBS1,ENSG00000174483
ENSPANG00000000275,ENSPANT00000046240,,Bardet-Biedl syndrome 1 [Source:NCBI gene (formerly Entrezgene);Acc:101025560],AP002748.5,ENSG00000256349
ENSPANG00000000383,ENSPANT00000027487,,ring finger protein 31 [Source:NCBI gene (formerly Entrezgene);Acc:101015955],AL136295.5,ENSG00000259529
ENSPANG00000000383,ENSPANT00000027487,,ring finger protein 31 [Source:NCBI gene (formerly Entrezgene);Acc:101015955],RNF31,ENSG00000092098
ENSPANG00000000383,ENSPANT00000032520,,ring finger protein 31 [Source:NCBI gene (formerly Entrezgene);Acc:101015955],AL136295.5,ENSG00000259529
ENSPANG00000000383,ENSPANT00000032520,,ring finger protein 31 [Source:NCBI gene (formerly Entrezgene);Acc:101015955],RNF31,ENSG00000092098
ENSPANG00000000455,ENSPANT00000044355,UTP4,UTP4 small subunit processome component [Source:NCBI gene (formerly Entrezgene);Acc:101013213],UTP4,ENSG00000141076
ENSPANG00000000455,ENSPANT00000017176,UTP4,UTP4 small subunit processome component [Source:NCBI gene (formerly Entrezgene);Acc:101013213],UTP4,ENSG00000141076
ENSPANG00000000505,ENSPANT00000014600,,filamin-C-like [Source:NCBI gene (formerly Entrezgene);Acc:100998926],,
ENSPANG00000001064,ENSPANT00000003320,,PVR cell adhesion molecule [Source:NCBI gene (formerly Entrezgene);Acc:101015114],PVR,ENSG00000073008
ENSPANG00000001064,ENSPANT00000031486,,PVR cell adhesion molecule [Source:NCBI gene (formerly Entrezgene);Acc:101015114],PVR,ENSG00000073008
ENSPANG00000001064,ENSPANT00000035364,,PVR cell adhesion molecule [Source:NCBI gene (formerly Entrezgene);Acc:101015114],PVR,ENSG00000073008
ENSPANG00000001307,ENSPANT00000011814,,,,
ENSPANG00000001841,ENSPANT00000011498,,haloacid dehalogenase-like hydrolase domain-containing protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:101014679],HDHD2,ENSG00000167220
ENSPANG00000003098,ENSPANT00000021371,,NADH:ubiquinone oxidoreductase subunit A11 [Source:NCBI gene (formerly Entrezgene);Acc:101026186],AC024592.3,ENSG00000267740
ENSPANG00000003098,ENSPANT00000021371,,NADH:ubiquinone oxidoreductase subunit A11 [Source:NCBI gene (formerly Entrezgene);Acc:101026186],NDUFA11,ENSG00000174886
ENSPANG00000003098,ENSPANT00000041482,,NADH:ubiquinone oxidoreductase subunit A11 [Source:NCBI gene (formerly Entrezgene);Acc:101026186],AC024592.3,ENSG00000267740
ENSPANG00000003098,ENSPANT00000041482,,NADH:ubiquinone oxidoreductase subunit A11 [Source:NCBI gene (formerly Entrezgene);Acc:101026186],NDUFA11,ENSG00000174886
ENSPANG00000003102,ENSPANT00000020005,,,IFRD2,ENSG00000214706
ENSPANG00000003102,ENSPANT00000055474,,,IFRD2,ENSG00000214706
ENSPANG00000003102,ENSPANT00000044585,,,IFRD2,ENSG00000214706
ENSPANG00000003111,ENSPANT00000013005,CTSD,cathepsin D [Source:NCBI gene (formerly Entrezgene);Acc:100137367],CTSD,ENSG00000117984
ENSPANG00000003111,ENSPANT00000050191,CTSD,cathepsin D [Source:NCBI gene (formerly Entrezgene);Acc:100137367],CTSD,ENSG00000117984
ENSPANG00000003222,ENSPANT00000052282,,,,
ENSPANG00000003222,ENSPANT00000019109,,,,
ENSPANG00000003349,ENSPANT00000023249,,mitochondrial ribosomal protein S21 [Source:NCBI gene (formerly Entrezgene);Acc:101014936],MRPS21,ENSG00000266472
ENSPANG00000003459,ENSPANT00000014164,,,ATP5IF1,ENSG00000130770
ENSPANG00000003496,ENSPANT00000015206,,,RPS6,ENSG00000137154
ENSPANG00000003568,ENSPANT00000046386,APBA3,amyloid beta precursor protein binding family A member 3 [Source:NCBI gene (formerly Entrezgene);Acc:100998144],APBA3,ENSG00000011132
