Gene stable ID,Transcript stable ID,Gene name,Gene description,Human gene name,Human gene stable ID
ENSPANG00000000171,ENSPANT00000008128,,heterogeneous nuclear ribonucleoprotein A1-like [Source:NCBI gene (formerly Entrezgene);Acc:100999585],,
ENSPANG00000000856,ENSPANT00000007514,,very-long-chain enoyl-CoA reductase pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:101006410],,
ENSPANG00000001064,ENSPANT00000003320,,PVR cell adhesion molecule [Source:NCBI gene (formerly Entrezgene);Acc:101015114],PVR,ENSG00000073008
ENSPANG00000001064,ENSPANT00000031486,,PVR cell adhesion molecule [Source:NCBI gene (formerly Entrezgene);Acc:101015114],PVR,ENSG00000073008
ENSPANG00000001064,ENSPANT00000035364,,PVR cell adhesion molecule [Source:NCBI gene (formerly Entrezgene);Acc:101015114],PVR,ENSG00000073008
ENSPANG00000001780,ENSPANT00000015443,,,MORF4L2,ENSG00000123562
ENSPANG00000002533,ENSPANT00000007748,,phosphoinositide-3-kinase regulatory subunit 2 [Source:NCBI gene (formerly Entrezgene);Acc:101009981],AC007192.1,ENSG00000268173
ENSPANG00000002533,ENSPANT00000007748,,phosphoinositide-3-kinase regulatory subunit 2 [Source:NCBI gene (formerly Entrezgene);Acc:101009981],PIK3R2,ENSG00000105647
ENSPANG00000002533,ENSPANT00000019532,,phosphoinositide-3-kinase regulatory subunit 2 [Source:NCBI gene (formerly Entrezgene);Acc:101009981],AC007192.1,ENSG00000268173
ENSPANG00000002533,ENSPANT00000019532,,phosphoinositide-3-kinase regulatory subunit 2 [Source:NCBI gene (formerly Entrezgene);Acc:101009981],PIK3R2,ENSG00000105647
ENSPANG00000003301,ENSPANT00000017901,,keratin 8 [Source:NCBI gene (formerly Entrezgene);Acc:101009002],KRT8,ENSG00000170421
ENSPANG00000003350,ENSPANT00000004618,,,DNPEP,ENSG00000123992
ENSPANG00000003966,ENSPANT00000059191,,,,
ENSPANG00000003966,ENSPANT00000049788,,,,
ENSPANG00000003972,ENSPANT00000058585,,caspase-1-like [Source:NCBI gene (formerly Entrezgene);Acc:101009375],CARD17,ENSG00000255221
ENSPANG00000004629,ENSPANT00000047907,,,,
ENSPANG00000004629,ENSPANT00000010867,,,,
ENSPANG00000004629,ENSPANT00000013954,,,,
ENSPANG00000004784,ENSPANT00000007495,,,,
ENSPANG00000004867,ENSPANT00000044786,,,,
ENSPANG00000004867,ENSPANT00000024452,,,,
ENSPANG00000004890,ENSPANT00000022254,,,,
ENSPANG00000005513,ENSPANT00000031376,BOD1,biorientation of chromosomes in cell division 1 [Source:NCBI gene (formerly Entrezgene);Acc:101003156],BOD1,ENSG00000145919
ENSPANG00000005513,ENSPANT00000054585,BOD1,biorientation of chromosomes in cell division 1 [Source:NCBI gene (formerly Entrezgene);Acc:101003156],BOD1,ENSG00000145919
ENSPANG00000005513,ENSPANT00000009284,BOD1,biorientation of chromosomes in cell division 1 [Source:NCBI gene (formerly Entrezgene);Acc:101003156],BOD1,ENSG00000145919
ENSPANG00000005550,ENSPANT00000048928,,,,
ENSPANG00000005604,ENSPANT00000040525,AGO2,argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263],AGO2,ENSG00000123908
ENSPANG00000005604,ENSPANT00000038938,AGO2,argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263],AGO2,ENSG00000123908
ENSPANG00000005604,ENSPANT00000004329,AGO2,argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263],AGO2,ENSG00000123908
ENSPANG00000005604,ENSPANT00000055372,AGO2,argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263],AGO2,ENSG00000123908
ENSPANG00000005604,ENSPANT00000037548,AGO2,argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263],AGO2,ENSG00000123908
ENSPANG00000005720,ENSPANT00000008286,SYTL1,synaptotagmin like 1 [Source:NCBI gene (formerly Entrezgene);Acc:100997501],SYTL1,ENSG00000142765
ENSPANG00000005747,ENSPANT00000012577,FAM149A,family with sequence similarity 149 member A [Source:NCBI gene (formerly Entrezgene);Acc:101003617],FAM149A,ENSG00000109794
ENSPANG00000005819,ENSPANT00000004568,,,,
ENSPANG00000006050,ENSPANT00000027769,,,CD200R1,ENSG00000163606
ENSPANG00000006050,ENSPANT00000027769,,,CD200R1L,ENSG00000206531
ENSPANG00000006303,ENSPANT00000048267,,RAS p21 protein activator 4B [Source:NCBI gene (formerly Entrezgene);Acc:100998235],RASA4,ENSG00000105808
ENSPANG00000006303,ENSPANT00000048267,,RAS p21 protein activator 4B [Source:NCBI gene (formerly Entrezgene);Acc:100998235],RASA4B,ENSG00000170667
ENSPANG00000006303,ENSPANT00000027434,,RAS p21 protein activator 4B [Source:NCBI gene (formerly Entrezgene);Acc:100998235],RASA4,ENSG00000105808
ENSPANG00000006303,ENSPANT00000027434,,RAS p21 protein activator 4B [Source:NCBI gene (formerly Entrezgene);Acc:100998235],RASA4B,ENSG00000170667
ENSPANG00000007069,ENSPANT00000021588,,60S ribosomal protein L19 pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:101000094],RPL19,ENSG00000108298
ENSPANG00000007157,ENSPANT00000020156,,,MSH5,ENSG00000204410
ENSPANG00000007157,ENSPANT00000020156,,,MSH5-SAPCD1,ENSG00000255152
ENSPANG00000007157,ENSPANT00000058084,,,MSH5,ENSG00000204410
ENSPANG00000007157,ENSPANT00000058084,,,MSH5-SAPCD1,ENSG00000255152
ENSPANG00000007280,ENSPANT00000010138,,heat shock protein family B (small) member 2 [Source:NCBI gene (formerly Entrezgene);Acc:101007984],HSPB2-C11orf52,ENSG00000254445
ENSPANG00000007280,ENSPANT00000010138,,heat shock protein family B (small) member 2 [Source:NCBI gene (formerly Entrezgene);Acc:101007984],HSPB2,ENSG00000170276
ENSPANG00000008041,ENSPANT00000013429,,ribosomal protein S19 [Source:NCBI gene (formerly Entrezgene);Acc:101012249],,
ENSPANG00000008455,ENSPANT00000020194,,40S ribosomal protein S4 pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:101008141],,
ENSPANG00000008807,ENSPANT00000016238,,endothelial differentiation-related factor 1 pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:101026373],EDF1,ENSG00000107223
ENSPANG00000008881,ENSPANT00000028467,MPND,MPN domain containing [Source:NCBI gene (formerly Entrezgene);Acc:101009850],MPND,ENSG00000008382
ENSPANG00000008881,ENSPANT00000053061,MPND,MPN domain containing [Source:NCBI gene (formerly Entrezgene);Acc:101009850],MPND,ENSG00000008382
ENSPANG00000008881,ENSPANT00000058663,MPND,MPN domain containing [Source:NCBI gene (formerly Entrezgene);Acc:101009850],MPND,ENSG00000008382
ENSPANG00000009192,ENSPANT00000055277,,nucleophosmin pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:101019040],,
ENSPANG00000009192,ENSPANT00000009213,,nucleophosmin pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:101019040],,
ENSPANG00000009679,ENSPANT00000013796,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11A,ENSG00000008128
ENSPANG00000009679,ENSPANT00000013796,,cyclin dependent kinase 11B [Source:NCBI gene (formerly Entrezgene);Acc:101020035],CDK11B,ENSG00000248333
